run,strategy,product,trade_count,volume,buy_volume,sell_volume,outside_volume,outside_trade_count,taker_like_volume,avg_fill_mid_edge,avg_outside_distance,markout_1,adverse_rate_1,markout_2,adverse_rate_2,markout_5,adverse_rate_5,markout_10,adverse_rate_10,markout_50,adverse_rate_50,markout_100,adverse_rate_100
05,dyn_skew_fade,VEV_5000,5,14,14,0,0,0,5,1.0357142857142858,,1.6428571428571428,0.0,2.5714285714285716,0.0,3.25,0.14285714285714285,2.5357142857142856,0.5,-1.4230769230769231,0.5384615384615384,-5.769230769230769,0.7692307692307693
05,dyn_skew_fade,VEV_5100,4,9,9,0,0,0,0,1.3333333333333333,,1.6111111111111112,0.0,1.6666666666666667,0.2222222222222222,2.2777777777777777,0.2222222222222222,3.0555555555555554,0.3333333333333333,3.0,0.625,-4.125,0.625
05,dyn_skew_fade,VEV_5200,4,9,9,0,0,0,0,0.5,,0.5,0.3333333333333333,0.6111111111111112,0.3333333333333333,1.2777777777777777,0.3333333333333333,1.8333333333333333,0.3333333333333333,1.625,0.625,-3.6875,0.625
06,old_options_alpha,VELVETFRUIT_EXTRACT,47,273,135,138,0,0,0,1.543956043956044,,1.379120879120879,0.07692307692307693,1.1483516483516483,0.1575091575091575,1.2454212454212454,0.1978021978021978,1.119047619047619,0.3516483516483517,1.401185770750988,0.3952569169960474,3.508298755186722,0.34024896265560167
06,old_options_alpha,VEV_4000,8,15,9,6,0,0,0,9.633333333333333,,10.0,0.0,9.7,0.0,10.4,0.0,11.2,0.0,10.107142857142858,0.0,5.714285714285714,0.21428571428571427
06,old_options_alpha,VEV_4500,8,15,9,6,0,0,0,7.0,,7.5,0.0,7.433333333333334,0.0,8.1,0.0,8.733333333333333,0.0,7.714285714285714,0.14285714285714285,3.642857142857143,0.21428571428571427
06,old_options_alpha,VEV_5000,8,15,9,6,0,0,0,2.1333333333333333,,2.533333333333333,0.0,2.3333333333333335,0.0,2.933333333333333,0.13333333333333333,3.8,0.13333333333333333,2.607142857142857,0.42857142857142855,-1.3928571428571428,0.6428571428571429
06,old_options_alpha,VEV_5100,8,15,9,6,0,0,0,1.2333333333333334,,1.5666666666666667,0.0,1.4,0.13333333333333333,2.066666666666667,0.13333333333333333,2.7,0.26666666666666666,1.8928571428571428,0.6428571428571429,-1.7857142857142858,0.7142857142857143
06,old_options_alpha,VEV_5200,8,15,9,6,0,0,0,0.5,,0.6333333333333333,0.26666666666666666,0.6,0.2,1.2333333333333334,0.2,1.6333333333333333,0.26666666666666666,0.9642857142857143,0.6428571428571429,-1.8571428571428572,0.7142857142857143
07,velvet_far_quotes,VELVETFRUIT_EXTRACT,65,134,68,66,0,0,21,1.085820895522388,,0.8805970149253731,0.23134328358208955,0.7388059701492538,0.2835820895522388,0.667910447761194,0.35074626865671643,0.8384615384615385,0.4153846153846154,1.6024590163934427,0.36065573770491804,3.2198275862068964,0.3620689655172414
08,velvet_flow_follow,VELVETFRUIT_EXTRACT,389,823,402,421,0,0,698,-1.8894289185905224,,-1.973876063183475,0.8554070473876063,-1.9835965978128798,0.8432563791008505,-1.8760631834750912,0.7606318347509113,-1.7871951219512194,0.6829268292682927,0.24153645833333334,0.51171875,1.4904109589041097,0.4136986301369863
09,hydro_far_quotes,HYDROGEL_PACK,20,35,13,22,0,0,0,6.771428571428571,,6.914285714285715,0.05714285714285714,6.757142857142857,0.05714285714285714,6.1571428571428575,0.05714285714285714,6.771428571428571,0.05714285714285714,3.9242424242424243,0.42424242424242425,6.580645161290323,0.5483870967741935
